code 代码/写代码
server 服务器
computer/PC 计算机
copy 复制
save 保存
directory 文件夹/目录
clear 清除 清空
remove 删除 移除
delete 删除
browser 浏览器
client 客户端

DOC  document 文档
type 类型
title 标题
bold 加粗
italic 斜体
underline 下划线
color 颜色
size 尺寸 大小
width 宽度
height 高度

target 目标、任务
table 表格
row 行
column 列
data 数据
date 日期
border 边框
style 样式
order 排序
list 列表
item 项
input 输入
max 最大值
min 最小值
name 名称
value 值
text 文本
password 密码
submit 提交
reset 重置

scrolling 拖拽条
background 背景
Invalid 无效的
property 属性
unknown 未知的
solid 实线
font 字体
link 链接 引入
box 盒子
class 类










